company,website,country,sector,fit_score,agentready_score,critical_findings,major_findings,public_role_emails,public_phone_numbers,contact_pages,ai_readiness_angles,targeting_notes,draft_email,source
Smyths Toys,https://www.smythstoys.com/,Ireland,Retail ecommerce,80,72,,warn: Structured data is available,,,https://www.smythstoys.com/; https://www.smythstoys.com/contact; https://www.smythstoys.com/impressum; https://www.smythstoys.com/imprint; https://www.smythstoys.com/kontakt,structured data for agent understanding; discoverability through sitemaps; hard-to-detect public contact channel,Product catalog and availability are website-led,"Subject: Quick AI-agent readiness check for Smyths Toys

Hi Smyths Toys team,

I noticed a few likely AI-agent readiness gaps on www.smythstoys.com: Publish sitemap.xml or reference sitemap locations from robots.txt. Add /llms.txt with a concise Markdown map of agent-relevant pages. Add JSON-LD or microdata that describes the organization, products, services, docs, or API. These matter as more customers ask AI assistants to compare providers, find product details, check availability, or identify the right contact route.

The most relevant angles for your site look like structured data for agent understanding, discoverability through sitemaps, hard-to-detect public contact channel. I built AgentReady to show these issues in a short, practical report without logins or invasive testing.

Would it be useful if I sent over the readout for www.smythstoys.com?

Best,",manual seed
Thomann,https://www.thomann.de/,Germany,Retail ecommerce,85,64,,warn: Agent access policy is published | warn: Support path is detectable,info@thomann.de,,https://www.thomann.de/; https://www.thomann.de/compinfo_contact.html; https://www.thomann.de/compinfo_imprint.html; https://www.thomann.de/contact; https://www.thomann.de/helpdesk_repair.html; https://www.thomann.de/helpdesk_service.html; https://www.thomann.de/kontakt,agent-facing policy and discovery endpoints,Product catalog and comparison pages are website-led,"Subject: Quick AI-agent readiness check for Thomann

Hi Thomann team,

I noticed a few likely AI-agent readiness gaps on www.thomann.de: Add /llms.txt with a concise Markdown map of agent-relevant pages. Expose clean Markdown alternatives for high-value pages where possible. Publish an agent access policy that explains allowed agent behavior, rate limits, and contact paths. These matter as more customers ask AI assistants to compare providers, find product details, check availability, or identify the right contact route.

The most relevant angles for your site look like agent-facing policy and discovery endpoints. I built AgentReady to show these issues in a short, practical report without logins or invasive testing.

Would it be useful if I sent over the readout for www.thomann.de?

Best,",manual seed
Conrad Electronic,https://www.conrad.com/,Germany,B2B ecommerce and electronics,60,81,,warn: Agent access policy is published | warn: Support path is detectable,,,https://www.conrad.com/; https://www.conrad.com/en/about/affiliate.html; https://www.conrad.com/en/service.html; https://www.conrad.com/en/service/advice-and-information/newsletter-subscribe.html; https://www.conrad.com/en/service/eprocurement.html; https://www.conrad.com/en/service/orderservice/offerservice.html; https://www.conrad.com/en/service/orderservice/specialprocurement.html,discoverability through sitemaps; agent-facing policy and discovery endpoints; hard-to-detect public contact channel,Large product catalog and technical details,"Subject: Quick AI-agent readiness check for Conrad Electronic

Hi Conrad Electronic team,

I noticed a few likely AI-agent readiness gaps on www.conrad.com: Publish sitemap.xml or reference sitemap locations from robots.txt. Add /llms.txt with a concise Markdown map of agent-relevant pages. Expose clean Markdown alternatives for high-value pages where possible. These matter as more customers ask AI assistants to compare providers, find product details, check availability, or identify the right contact route.

The most relevant angles for your site look like discoverability through sitemaps, agent-facing policy and discovery endpoints, hard-to-detect public contact channel. I built AgentReady to show these issues in a short, practical report without logins or invasive testing.

Would it be useful if I sent over the readout for www.conrad.com?

Best,",manual seed
Manutan,https://www.manutan.com/,France,B2B ecommerce and industrial supplies,70,89,fail: No obvious secrets found in fetched public content,warn: Structured data is available,,,https://www.manutan.com/; https://www.manutan.com/contact; https://www.manutan.com/impressum; https://www.manutan.com/imprint; https://www.manutan.com/kontakt,structured data for agent understanding; hard-to-detect public contact channel,Product catalog and procurement flows,"Subject: Quick AI-agent readiness check for Manutan

Hi Manutan team,

I noticed a few likely AI-agent readiness gaps on www.manutan.com: Structure llms.txt with an H1, optional summary, and Markdown file lists. Add JSON-LD or microdata that describes the organization, products, services, docs, or API. Add Organization, LocalBusiness, WebSite, SoftwareApplication, or Service JSON-LD. These matter as more customers ask AI assistants to compare providers, find product details, check availability, or identify the right contact route.

The most relevant angles for your site look like structured data for agent understanding, hard-to-detect public contact channel. I built AgentReady to show these issues in a short, practical report without logins or invasive testing.

Would it be useful if I sent over the readout for www.manutan.com?

Best,",manual seed
Rajapack,https://www.rajapack.eu/,France,B2B ecommerce and packaging,90,49,,warn: Structured data is available | warn: Agent access policy is published | warn: Support path is detectable,,,,crawler policy clarity; structured data for agent understanding; discoverability through sitemaps; agent-facing policy and discovery endpoints; hard-to-detect public contact channel,Product catalog and buying guidance,"Subject: Quick AI-agent readiness check for Rajapack

Hi Rajapack team,

I noticed a few likely AI-agent readiness gaps on www.rajapack.eu: Publish robots.txt so automated clients can understand crawl preferences. Publish sitemap.xml or reference sitemap locations from robots.txt. Add /llms.txt with a concise Markdown map of agent-relevant pages. These matter as more customers ask AI assistants to compare providers, find product details, check availability, or identify the right contact route.

The most relevant angles for your site look like crawler policy clarity, structured data for agent understanding, discoverability through sitemaps, agent-facing policy and discovery endpoints, hard-to-detect public contact channel. I built AgentReady to show these issues in a short, practical report without logins or invasive testing.

Would it be useful if I sent over the readout for www.rajapack.eu?

Best,",manual seed
Kärcher,https://www.kaercher.com/,Germany,Manufacturer and product catalog,80,69,,warn: Agent access policy is published | warn: Support path is detectable,,+497195140,https://www.kaercher.com/; https://www.kaercher.com/int/support.html; https://www.kaercher.com/int/support/dealer-search.html; https://www.kaercher.com/int/support/service.html; https://www.kaercher.com/int/support/service/downloads/safety-data-sheets.html; https://www.kaercher.com/int/support/service/faqs.html; https://www.kaercher.com/int/support/service/spare-parts.html,agent-facing policy and discovery endpoints; hard-to-detect public contact channel,Product discovery and support content are website-led,"Subject: Quick AI-agent readiness check for Kärcher

Hi Kärcher team,

I noticed a few likely AI-agent readiness gaps on www.kaercher.com: Publish an agent access policy that explains allowed agent behavior, rate limits, and contact paths. Publish crawlable support/contact pages and expected response paths. Publish security.txt with vulnerability reporting contact information. These matter as more customers ask AI assistants to compare providers, find product details, check availability, or identify the right contact route.

The most relevant angles for your site look like agent-facing policy and discovery endpoints, hard-to-detect public contact channel. I built AgentReady to show these issues in a short, practical report without logins or invasive testing.

Would it be useful if I sent over the readout for www.kaercher.com?

Best,",manual seed
Rational,https://www.rational-online.com/,Germany,Manufacturer and dealer lead generation,90,49,,warn: Structured data is available | warn: Agent access policy is published | warn: Support path is detectable,,,https://www.rational-online.com/; https://www.rational-online.com/contact; https://www.rational-online.com/impressum; https://www.rational-online.com/imprint; https://www.rational-online.com/kontakt,crawler policy clarity; structured data for agent understanding; discoverability through sitemaps; agent-facing policy and discovery endpoints; hard-to-detect public contact channel,Product discovery and dealer/contact routing,"Subject: Quick AI-agent readiness check for Rational

Hi Rational team,

I noticed a few likely AI-agent readiness gaps on www.rational-online.com: Publish robots.txt so automated clients can understand crawl preferences. Publish sitemap.xml or reference sitemap locations from robots.txt. Add /llms.txt with a concise Markdown map of agent-relevant pages. These matter as more customers ask AI assistants to compare providers, find product details, check availability, or identify the right contact route.

The most relevant angles for your site look like crawler policy clarity, structured data for agent understanding, discoverability through sitemaps, agent-facing policy and discovery endpoints, hard-to-detect public contact channel. I built AgentReady to show these issues in a short, practical report without logins or invasive testing.

Would it be useful if I sent over the readout for www.rational-online.com?

Best,",manual seed
Viessmann Climate Solutions,https://www.viessmann-climatesolutions.com/,Germany,Manufacturer and installer lead generation,80,60,,warn: Agent access policy is published | warn: Support path is detectable,,,https://www.viessmann-climatesolutions.com/; https://www.viessmann-climatesolutions.com/de/digitale-services.html; https://www.viessmann-climatesolutions.com/de/impressum.html; https://www.viessmann-climatesolutions.com/de/karriere/jobsuche/kundenservice.html; https://www.viessmann-climatesolutions.com/de/kontakt.html; https://www.viessmann-climatesolutions.com/de/kontakt/betrugswarnung.html; https://www.viessmann-climatesolutions.com/de/kontakt/deine-anfrage.html,agent-facing policy and discovery endpoints; hard-to-detect public contact channel,Product discovery and partner routing,"Subject: Quick AI-agent readiness check for Viessmann Climate Solutions

Hi Viessmann Climate Solutions team,

I noticed a few likely AI-agent readiness gaps on www.viessmann-climatesolutions.com: Add /llms.txt with a concise Markdown map of agent-relevant pages. Expose clean Markdown alternatives for high-value pages where possible. Add Organization, LocalBusiness, WebSite, SoftwareApplication, or Service JSON-LD. These matter as more customers ask AI assistants to compare providers, find product details, check availability, or identify the right contact route.

The most relevant angles for your site look like agent-facing policy and discovery endpoints, hard-to-detect public contact channel. I built AgentReady to show these issues in a short, practical report without logins or invasive testing.

Would it be useful if I sent over the readout for www.viessmann-climatesolutions.com?

Best,",manual seed
Uponor,https://www.uponor.com/,Finland,Manufacturer and technical catalog,80,73,,warn: Agent access policy is published,,+43 2236 23003-0; +4932221090866; Kundenservice: +49 32 221 090 866; Zentrale: +49 9521 690-0,https://www.uponor.com/; https://www.uponor.com/de-de/service/fachhandwerker-suche; https://www.uponor.com/de-de/service/kontakte; https://www.uponor.com/de-de/service/produktdatensaetze; https://www.uponor.com/de-de/service/services-fuer-handwerker; https://www.uponor.com/de-de/service/uponor-aussendienst; https://www.uponor.com/de-de/service/webinare,agent-facing policy and discovery endpoints; hard-to-detect public contact channel,Technical content and partner routing,"Subject: Quick AI-agent readiness check for Uponor

Hi Uponor team,

I noticed a few likely AI-agent readiness gaps on www.uponor.com: Add /llms.txt with a concise Markdown map of agent-relevant pages. Expose clean Markdown alternatives for high-value pages where possible. Publish an agent access policy that explains allowed agent behavior, rate limits, and contact paths. These matter as more customers ask AI assistants to compare providers, find product details, check availability, or identify the right contact route.

The most relevant angles for your site look like agent-facing policy and discovery endpoints, hard-to-detect public contact channel. I built AgentReady to show these issues in a short, practical report without logins or invasive testing.

Would it be useful if I sent over the readout for www.uponor.com?

Best,",manual seed
Wavin,https://www.wavin.com/,Netherlands,Manufacturer and technical catalog,80,61,,warn: Agent access policy is published | warn: Support path is detectable,,,https://www.wavin.com/; https://www.wavin.com/global/en/about-us; https://www.wavin.com/global/en/about-us/purpose; https://www.wavin.com/global/en/building-design-services; https://www.wavin.com/global/en/news-and-cases/wavin-take-back-service-turning-used-pipes-into-new-products-globally; https://www.wavin.com/global/en/services; https://www.wavin.com/global/en/tools-services/bim-revit,discoverability through sitemaps; agent-facing policy and discovery endpoints; hard-to-detect public contact channel,Technical content and product discovery,"Subject: Quick AI-agent readiness check for Wavin

Hi Wavin team,

I noticed a few likely AI-agent readiness gaps on www.wavin.com: Publish sitemap.xml or reference sitemap locations from robots.txt. Add /llms.txt with a concise Markdown map of agent-relevant pages. Expose clean Markdown alternatives for high-value pages where possible. These matter as more customers ask AI assistants to compare providers, find product details, check availability, or identify the right contact route.

The most relevant angles for your site look like discoverability through sitemaps, agent-facing policy and discovery endpoints, hard-to-detect public contact channel. I built AgentReady to show these issues in a short, practical report without logins or invasive testing.

Would it be useful if I sent over the readout for www.wavin.com?

Best,",manual seed
