country,sector,buyer_signal,query,search_query,review_goal,seed_csv_instruction,notes
France,Manufacturer catalog,Technical product data and dealer routing live online,building materials manufacturer product catalog,building materials manufacturer product catalog France -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in France where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""building materials manufacturer product catalog"".",Manufacturers need agent-readable specs and partner routing
France,Attractions and ticketing,Ticket purchase or availability is website-led,theme park tickets official,theme park tickets official France -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in France where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""theme park tickets official"".",Ticketed venues need accessible schedules and booking context
Spain,Travel and direct booking,Booking or timetable flow is website-led,ferry tickets official website,ferry tickets official website Spain -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Spain where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""ferry tickets official website"".",Transport booking sites are good AgentReady prospects
Spain,Travel and direct booking,Booking or timetable flow is website-led,bus company online tickets,bus company online tickets Spain -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Spain where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""bus company online tickets"".",Transport booking sites are good AgentReady prospects
Spain,Hospitality and direct booking,Rooms and offers are sold through the website,hotel chain direct booking,hotel chain direct booking Spain -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Spain where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel chain direct booking"".",Hotel chains often need machine-readable booking and location pages
Spain,B2B ecommerce,Product catalog is the primary sales interface,industrial supplies ecommerce,industrial supplies ecommerce Spain -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Spain where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""industrial supplies ecommerce"".",B2B catalogs need structured product and quote pages
Spain,Manufacturer catalog,Technical product data and dealer routing live online,ceramic tiles manufacturer catalog,ceramic tiles manufacturer catalog Spain -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Spain where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""ceramic tiles manufacturer catalog"".",Manufacturers need agent-readable specs and partner routing
Spain,Attractions and ticketing,Ticket purchase or availability is website-led,attraction tickets official website,attraction tickets official website Spain -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Spain where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""attraction tickets official website"".",Ticketed venues need accessible schedules and booking context
Italy,Travel and direct booking,Booking or timetable flow is website-led,ferry booking official website,ferry booking official website Italy -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Italy where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""ferry booking official website"".",Transport booking sites are good AgentReady prospects
Italy,Travel and direct booking,Booking or timetable flow is website-led,train tour operator booking,train tour operator booking Italy -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Italy where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""train tour operator booking"".",Transport booking sites are good AgentReady prospects
Italy,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking,hotel group direct booking Italy -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Italy where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking"".",Hotel chains often need machine-readable booking and location pages
Italy,B2B ecommerce,Product catalog is the primary sales interface,restaurant supplies online shop,restaurant supplies online shop Italy -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Italy where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""restaurant supplies online shop"".",B2B catalogs need structured product and quote pages
Italy,Manufacturer catalog,Technical product data and dealer routing live online,furniture manufacturer product catalog,furniture manufacturer product catalog Italy -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Italy where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""furniture manufacturer product catalog"".",Manufacturers need agent-readable specs and partner routing
Italy,Attractions and ticketing,Ticket purchase or availability is website-led,museum tickets official website,museum tickets official website Italy -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Italy where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""museum tickets official website"".",Ticketed venues need accessible schedules and booking context
Netherlands,Travel and direct booking,Booking or timetable flow is website-led,ferry booking Netherlands official,ferry booking Netherlands official Netherlands -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Netherlands where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""ferry booking Netherlands official"".",Transport booking sites are good AgentReady prospects
Netherlands,Travel and direct booking,Booking or timetable flow is website-led,canal cruise booking official,canal cruise booking official Netherlands -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Netherlands where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""canal cruise booking official"".",Transport booking sites are good AgentReady prospects
Netherlands,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group official booking,hotel group official booking Netherlands -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Netherlands where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group official booking"".",Hotel chains often need machine-readable booking and location pages
Netherlands,B2B ecommerce,Product catalog is the primary sales interface,wholesale supplies online shop,wholesale supplies online shop Netherlands -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Netherlands where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""wholesale supplies online shop"".",B2B catalogs need structured product and quote pages
Netherlands,Manufacturer catalog,Technical product data and dealer routing live online,water management manufacturer catalog,water management manufacturer catalog Netherlands -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Netherlands where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""water management manufacturer catalog"".",Manufacturers need agent-readable specs and partner routing
Netherlands,Attractions and ticketing,Ticket purchase or availability is website-led,attraction tickets official Netherlands,attraction tickets official Netherlands Netherlands -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Netherlands where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""attraction tickets official Netherlands"".",Ticketed venues need accessible schedules and booking context
Belgium,Travel and direct booking,Booking or timetable flow is website-led,coach company online tickets,coach company online tickets Belgium -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Belgium where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""coach company online tickets"".",Transport booking sites are good AgentReady prospects
Belgium,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Belgium,hotel group direct booking Belgium Belgium -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Belgium where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Belgium"".",Hotel chains often need machine-readable booking and location pages
Belgium,B2B ecommerce,Product catalog is the primary sales interface,office supplies online shop Belgium,office supplies online shop Belgium Belgium -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Belgium where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""office supplies online shop Belgium"".",B2B catalogs need structured product and quote pages
Belgium,Manufacturer catalog,Technical product data and dealer routing live online,building products manufacturer Belgium,building products manufacturer Belgium Belgium -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Belgium where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""building products manufacturer Belgium"".",Manufacturers need agent-readable specs and partner routing
Belgium,Attractions and ticketing,Ticket purchase or availability is website-led,museum tickets official Belgium,museum tickets official Belgium Belgium -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Belgium where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""museum tickets official Belgium"".",Ticketed venues need accessible schedules and booking context
Austria,Travel and direct booking,Booking or timetable flow is website-led,mountain railway tickets online,mountain railway tickets online Austria -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Austria where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""mountain railway tickets online"".",Transport and attraction booking sites are good AgentReady prospects
Austria,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Austria,hotel group direct booking Austria Austria -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Austria where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Austria"".",Hotel chains often need machine-readable booking and location pages
Austria,B2B ecommerce,Product catalog is the primary sales interface,industrial supplies online shop Austria,industrial supplies online shop Austria Austria -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Austria where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""industrial supplies online shop Austria"".",B2B catalogs need structured product and quote pages
Austria,Manufacturer catalog,Technical product data and dealer routing live online,heating systems manufacturer Austria,heating systems manufacturer Austria Austria -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Austria where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""heating systems manufacturer Austria"".",Manufacturers need agent-readable specs and partner routing
Austria,Attractions and ticketing,Ticket purchase or availability is website-led,ski pass online booking official,ski pass online booking official Austria -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Austria where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""ski pass online booking official"".",Ticketed venues need accessible schedules and booking context
Switzerland,Travel and direct booking,Booking or timetable flow is website-led,mountain railway tickets official,mountain railway tickets official Switzerland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Switzerland where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""mountain railway tickets official"".",Transport and attraction booking sites are good AgentReady prospects
Switzerland,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Switzerland,hotel group direct booking Switzerland Switzerland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Switzerland where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Switzerland"".",Hotel chains often need machine-readable booking and location pages
Switzerland,B2B ecommerce,Product catalog is the primary sales interface,industrial supplies ecommerce Switzerland,industrial supplies ecommerce Switzerland Switzerland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Switzerland where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""industrial supplies ecommerce Switzerland"".",B2B catalogs need structured product and quote pages
Switzerland,Manufacturer catalog,Technical product data and dealer routing live online,precision tools manufacturer catalog,precision tools manufacturer catalog Switzerland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Switzerland where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""precision tools manufacturer catalog"".",Manufacturers need agent-readable specs and partner routing
Switzerland,Attractions and ticketing,Ticket purchase or availability is website-led,museum tickets official Switzerland,museum tickets official Switzerland Switzerland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Switzerland where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""museum tickets official Switzerland"".",Ticketed venues need accessible schedules and booking context
United Kingdom,Travel and direct booking,Booking or timetable flow is website-led,ferry booking official UK,ferry booking official UK United Kingdom -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in United Kingdom where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""ferry booking official UK"".",Transport booking sites are good AgentReady prospects
United Kingdom,Travel and direct booking,Booking or timetable flow is website-led,coach holidays online booking,coach holidays online booking United Kingdom -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in United Kingdom where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""coach holidays online booking"".",Transport booking sites are good AgentReady prospects
United Kingdom,Hospitality and direct booking,Rooms and offers are sold through the website,independent hotel group direct booking UK,independent hotel group direct booking UK United Kingdom -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in United Kingdom where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""independent hotel group direct booking UK"".",Hotel chains often need machine-readable booking and location pages
United Kingdom,B2B ecommerce,Product catalog is the primary sales interface,trade supplies online shop UK,trade supplies online shop UK United Kingdom -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in United Kingdom where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""trade supplies online shop UK"".",B2B catalogs need structured product and quote pages
United Kingdom,Manufacturer catalog,Technical product data and dealer routing live online,building products manufacturer technical catalog UK,building products manufacturer technical catalog UK United Kingdom -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in United Kingdom where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""building products manufacturer technical catalog UK"".",Manufacturers need agent-readable specs and partner routing
United Kingdom,Attractions and ticketing,Ticket purchase or availability is website-led,visitor attraction tickets official UK,visitor attraction tickets official UK United Kingdom -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in United Kingdom where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""visitor attraction tickets official UK"".",Ticketed venues need accessible schedules and booking context
Ireland,Travel and direct booking,Booking or timetable flow is website-led,ferry booking official Ireland,ferry booking official Ireland Ireland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Ireland where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""ferry booking official Ireland"".",Transport booking sites are good AgentReady prospects
Ireland,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Ireland,hotel group direct booking Ireland Ireland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Ireland where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Ireland"".",Hotel chains often need machine-readable booking and location pages
Ireland,B2B ecommerce,Product catalog is the primary sales interface,trade supplies online shop Ireland,trade supplies online shop Ireland Ireland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Ireland where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""trade supplies online shop Ireland"".",B2B catalogs need structured product and quote pages
Ireland,Manufacturer catalog,Technical product data and dealer routing live online,building materials manufacturer Ireland,building materials manufacturer Ireland Ireland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Ireland where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""building materials manufacturer Ireland"".",Manufacturers need agent-readable specs and partner routing
Ireland,Attractions and ticketing,Ticket purchase or availability is website-led,attraction tickets official Ireland,attraction tickets official Ireland Ireland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Ireland where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""attraction tickets official Ireland"".",Ticketed venues need accessible schedules and booking context
Norway,Travel and direct booking,Booking or timetable flow is website-led,ferry booking official Norway,ferry booking official Norway Norway -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Norway where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""ferry booking official Norway"".",Transport booking sites are good AgentReady prospects
Norway,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Norway,hotel group direct booking Norway Norway -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Norway where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Norway"".",Hotel chains often need machine-readable booking and location pages
Norway,B2B ecommerce,Product catalog is the primary sales interface,industrial supplies online shop Norway,industrial supplies online shop Norway Norway -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Norway where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""industrial supplies online shop Norway"".",B2B catalogs need structured product and quote pages
Norway,Manufacturer catalog,Technical product data and dealer routing live online,marine equipment manufacturer catalog Norway,marine equipment manufacturer catalog Norway Norway -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Norway where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""marine equipment manufacturer catalog Norway"".",Manufacturers need agent-readable specs and partner routing
Norway,Attractions and ticketing,Ticket purchase or availability is website-led,fjord cruise booking official,fjord cruise booking official Norway -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Norway where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""fjord cruise booking official"".",Ticketed venues need accessible schedules and booking context
Sweden,Travel and direct booking,Booking or timetable flow is website-led,ferry booking official Sweden,ferry booking official Sweden Sweden -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Sweden where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""ferry booking official Sweden"".",Transport booking sites are good AgentReady prospects
Sweden,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Sweden,hotel group direct booking Sweden Sweden -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Sweden where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Sweden"".",Hotel chains often need machine-readable booking and location pages
Sweden,B2B ecommerce,Product catalog is the primary sales interface,industrial supplies ecommerce Sweden,industrial supplies ecommerce Sweden Sweden -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Sweden where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""industrial supplies ecommerce Sweden"".",B2B catalogs need structured product and quote pages
Sweden,Manufacturer catalog,Technical product data and dealer routing live online,industrial equipment manufacturer catalog Sweden,industrial equipment manufacturer catalog Sweden Sweden -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Sweden where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""industrial equipment manufacturer catalog Sweden"".",Manufacturers need agent-readable specs and partner routing
Sweden,Attractions and ticketing,Ticket purchase or availability is website-led,museum tickets official Sweden,museum tickets official Sweden Sweden -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Sweden where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""museum tickets official Sweden"".",Ticketed venues need accessible schedules and booking context
Denmark,Travel and direct booking,Booking or timetable flow is website-led,ferry booking official Denmark,ferry booking official Denmark Denmark -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Denmark where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""ferry booking official Denmark"".",Transport booking sites are good AgentReady prospects
Denmark,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Denmark,hotel group direct booking Denmark Denmark -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Denmark where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Denmark"".",Hotel chains often need machine-readable booking and location pages
Denmark,B2B ecommerce,Product catalog is the primary sales interface,industrial supplies online shop Denmark,industrial supplies online shop Denmark Denmark -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Denmark where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""industrial supplies online shop Denmark"".",B2B catalogs need structured product and quote pages
Denmark,Manufacturer catalog,Technical product data and dealer routing live online,manufacturer product catalog Denmark,manufacturer product catalog Denmark Denmark -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Denmark where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""manufacturer product catalog Denmark"".",Manufacturers need agent-readable specs and partner routing
Denmark,Attractions and ticketing,Ticket purchase or availability is website-led,attraction tickets official Denmark,attraction tickets official Denmark Denmark -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Denmark where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""attraction tickets official Denmark"".",Ticketed venues need accessible schedules and booking context
